ticker,poids_min_variance,poids_max_sharpe
ABJC,0.029411764705882353,1.2583363815333925e-17
BNBC,0.029411764705882353,0.0
BOAB,0.029411764705882353,0.07363240416296774
BOABF,0.029411764705882353,0.033737953860104385
BOAC,0.029411764705882353,0.06959074651259164
BOAM,0.029411764705882353,0.025836219620426263
BOAN,0.029411764705882353,0.015257600684661449
BOAS,0.029411764705882353,0.0598531306120062
CABC,0.029411764705882353,0.013405228131716053
CBIBF,0.029411764705882353,0.06697137390179464
CFAC,0.029411764705882353,0.010709359401454418
CIEC,0.029411764705882353,0.03134686757751555
ECOC,0.029411764705882353,0.07483687854039275
ETIT,0.029411764705882353,0.00905219489772954
FTSC,0.029411764705882353,0.0
NSBC,0.029411764705882353,0.01446749342835138
NTLC,0.029411764705882353,0.046729578124524995
ONTBF,0.029411764705882353,0.0
ORGT,0.029411764705882353,2.90761308876359e-17
PALC,0.029411764705882353,0.0031789785352753083
SCRC,0.029411764705882353,0.008903778330926957
SDCC,0.029411764705882353,0.04426267645809605
SDSC,0.029411764705882353,5.624365534721942e-19
SGBC,0.029411764705882353,0.0973745439006094
SHEC,0.029411764705882353,0.007865417405410607
SIBC,0.029411764705882353,0.1
SIVC,0.029411764705882353,0.020781528238363448
SMBC,0.029411764705882353,0.02103440321379861
SNTS,0.029411764705882353,0.1
SOGC,0.029411764705882353,0.01272888652957645
SPHC,0.029411764705882353,0.02328387241412465
TTLC,0.029411764705882353,0.0046982583746994835
TTLS,0.029411764705882353,0.010460627142882014
UNXC,0.029411764705882353,1.1066106172742704e-17
