Ticker,n_observations,date_debut,date_fin,volume_median,pct_jours_volume_nul,pct_missing_calendar,raison_exclusion
BICB,306,2025-04-28,2026-07-01,1838.5,0.32679738562091504,81.85053380782918,81.9% de dates manquantes (seuil: 10.0%)
BICC,1484,2020-01-01,2026-07-01,166.5,0.06738544474393532,11.981020166073542,12.0% de dates manquantes (seuil: 10.0%)
LNBB,401,2024-12-13,2026-07-01,1007.0,0.24937655860349126,76.21589561091339,76.2% de dates manquantes (seuil: 10.0%)
NEIC,1504,2020-01-02,2026-07-01,500.5,0.06648936170212766,10.794780545670225,10.8% de dates manquantes (seuil: 10.0%)
ORAC,910,2022-12-30,2026-07-01,1465.0,0.10989010989010989,46.02609727164887,46.0% de dates manquantes (seuil: 10.0%)
PRSC,1482,2020-01-01,2026-07-01,203.0,0.06747638326585695,12.099644128113884,12.1% de dates manquantes (seuil: 10.0%)
SAFC,1294,2020-01-20,2026-07-01,380.5,0.07727975270479134,23.250296559905102,23.3% de dates manquantes (seuil: 10.0%)
SEMC,999,2020-01-06,2026-07-01,430.0,0.20020020020020018,40.747330960854086,40.7% de dates manquantes (seuil: 10.0%)
SICC,1029,2020-01-07,2026-07-01,22.0,0.1943634596695821,38.967971530249116,39.0% de dates manquantes (seuil: 10.0%)
SLBC,1144,2020-01-06,2026-07-01,100.0,8.741258741258742,32.14709371293001,32.1% de dates manquantes (seuil: 10.0%)
STAC,1426,2020-01-02,2026-07-01,339.0,0.07012622720897616,15.421115065243175,15.4% de dates manquantes (seuil: 10.0%)
STBC,1476,2020-01-08,2026-07-01,577.5,0.06775067750677506,12.45551601423488,12.5% de dates manquantes (seuil: 10.0%)
UNLC,645,2020-06-02,2026-07-01,9.0,0.15503875968992248,61.74377224199288,61.7% de dates manquantes (seuil: 10.0%)
